,numberFire,,Ranks,,Passing,,,,Rushing,,,Receiving,,,
Player,FP,CI,Ovr.,Pos.,C/A,Yds,TDs,Ints,Att,Yds,TDs,Rec,Tgt,Yds,TDs
"Christian Watson C. Watson(WR, GB)",151.17,"125.44 - 176.9",#83,#22,"0.00 / 0.00",0.00,0.00,0.00,4.61,26.87,0.36,82.30,139.51,1063.18,6.83
"DeVonta Smith D. Smith(WR, PHI)",149.86,"124.24 - 175.48",#84,#23,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,91.11,140.73,1121.92,6.40
"James Cook J. Cook(RB, BUF)",146.64,"121.27 - 172.01",#85,#29,"0.00 / 0.00",0.00,0.00,0.00,178.62,824.66,4.95,34.64,48.86,251.59,1.88
"Keenan Allen K. Allen(WR, LAC)",143.87,"118.76 - 168.98",#86,#24,"0.00 / 0.00",0.00,0.00,0.00,4.28,23.87,0.17,93.50,138.84,1083.78,5.61
"Tyler Lockett T. Lockett(WR, SEA)",142.26,"117.29 - 167.23",#87,#25,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,86.71,128.08,1022.94,6.84
"Mark Andrews M. Andrews(TE, BAL)",141.76,"116.82 - 166.7",#88,#2,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,84.41,128.04,947.80,7.91
"Chris Godwin C. Godwin(WR, TB)",141.20,"116.31 - 166.09",#89,#26,"0.00 / 0.00",0.00,0.00,0.00,4.41,25.03,0.21,97.00,148.59,1023.28,6.06
"Marquise Brown M. Brown(WR, ARI)",140.18,"115.38 - 164.98",#90,#27,"0.00 / 0.00",0.00,0.00,0.00,4.58,27.24,0.18,91.38,144.33,1053.85,5.46
"Terry McLaurin T. McLaurin(WR, WSH)",139.76,"115 - 164.52",#91,#28,"0.00 / 0.00",0.00,0.00,0.00,5.02,29.25,0.26,78.45,129.76,1041.47,5.29
"DeAndre Hopkins D. Hopkins(WR, TEN)",137.50,"112.93 - 162.07",#92,#29,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,80.85,122.57,1000.47,6.51
"A.J. Dillon A. Dillon(RB, GB)",133.66,"109.32 - 158",#93,#30,"0.00 / 0.00",0.00,0.00,0.00,166.61,733.09,6.81,18.80,25.65,147.73,0.90
"Alvin Kamara A. Kamara(RB, NO)",133.11,"108.32 - 157.9",#94,#31,"0.00 / 0.00",0.00,0.00,0.00,179.94,773.44,4.14,32.22,44.76,248.56,1.52
"Brandin Cooks B. Cooks(WR, DAL)",130.22,"106.28 - 154.16",#95,#30,"0.00 / 0.00",0.00,0.00,0.00,4.92,29.72,0.31,73.82,113.48,872.68,6.32
"T.J. Hockenson T. Hockenson(TE, MIN)",129.63,"105.74 - 153.52",#96,#3,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,88.65,135.52,855.00,7.47
"Treylon Burks T. Burks(WR, TEN)",129.07,"105.23 - 152.91",#97,#31,"0.00 / 0.00",0.00,0.00,0.00,5.01,28.56,0.20,70.11,112.59,937.78,5.27
"D.J. Moore D. Moore(WR, CHI)",128.91,"105.08 - 152.74",#98,#32,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,69.78,111.15,885.71,6.77
"Michael Pittman Jr. M. Pittman Jr.(WR, IND)",126.14,"102.55 - 149.73",#99,#33,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,84.15,131.38,989.02,4.72
"Brandon Aiyuk B. Aiyuk(WR, SF)",125.74,"102.18 - 149.3",#100,#34,"0.00 / 0.00",0.00,0.00,0.00,4.99,30.27,0.36,69.34,113.95,858.04,5.92
"Brian Robinson B. Robinson(RB, WSH)",125.70,"101.99 - 149.41",#101,#32,"0.00 / 0.00",0.00,0.00,0.00,218.55,907.49,5.32,7.44,10.82,43.42,0.29
"Drake London D. London(WR, ATL)",125.49,"101.96 - 149.02",#102,#35,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,77.55,125.94,903.56,6.10
"Antonio Gibson A. Gibson(RB, WSH)",122.71,"99.23 - 146.19",#103,#33,"0.00 / 0.00",0.00,0.00,0.00,133.13,566.08,4.41,44.00,59.47,292.28,1.86
"Diontae Johnson D. Johnson(WR, PIT)",120.85,"97.71 - 143.99",#104,#36,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,85.18,135.95,921.85,4.92
"Gabriel Davis G. Davis(WR, BUF)",116.17,"93.43 - 138.91",#105,#37,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,53.91,97.70,833.52,5.57
"Jordan Addison J. Addison(WR, MIN)",115.33,"92.66 - 138",#106,#38,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,69.81,113.44,807.39,5.90
"Khalil Herbert K. Herbert(RB, CHI)",114.96,"92.1 - 137.82",#107,#34,"0.00 / 0.00",0.00,0.00,0.00,163.50,764.57,4.65,11.66,16.16,76.90,0.65
"George Pickens G. Pickens(WR, PIT)",114.26,"91.68 - 136.84",#108,#39,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,62.27,100.61,840.20,5.09
"Jahan Dotson J. Dotson(WR, WSH)",113.18,"90.69 - 135.67",#109,#40,"0.00 / 0.00",0.00,0.00,0.00,7.53,43.68,0.41,63.44,102.73,780.97,4.84
"Jaxon Smith-Njigba J. Smith-Njigba(WR, SEA)",113.04,"90.56 - 135.52",#110,#41,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,67.96,104.79,840.64,4.96
